trend,date,seasonal,observed
101492.1950684931,2016-11-11,-234.53359203555547,100402.72041666666
101493.35185045662,2016-11-12,-363.4347055681502,99552.94666666666
101495.20598287671,2016-11-13,-256.43831194009687,100046.49208333333
101495.89684132418,2016-11-14,-106.27442568023923,101605.9325
101497.3188139269,2016-11-15,-66.71704512813326,102104.81583333334
101498.2876426941,2016-11-16,-52.375843177123,102108.175
101500.12208904109,2016-11-17,90.0497897618604,101441.45916666667
101500.4534703196,2016-11-18,57.85677544057653,101845.44416666667
101498.87429908676,2016-11-19,-141.2135081833384,101878.88458333333
101498.87440525113,2016-11-20,-281.7401596984916,101205.87125000001
101500.45835730594,2016-11-21,-246.99857978982297,101002.53333333333
101499.17427283105,2016-11-22,-265.79728215594395,101560.77916666667
101499.326152968,2016-11-23,-329.8882475980375,101718.50583333334
101502.62363356163,2016-11-24,-427.24926036267107,101698.71041666665
101506.4001438356,2016-11-25,-282.77698306919325,101998.64083333332
101506.96980936073,2016-11-26,-188.05046355902206,102047.59083333334
101506.21262557073,2016-11-27,-279.2611338578937,101722.93041666667
101505.24109931507,2016-11-28,-275.75962109326474,101375.78083333334
101504.32474771689,2016-11-29,-437.96539070721616,101055.88500000001
101488.96985730593,2016-11-30,-377.6921283576886,100920.12166666666
101473.48403652967,2016-12-01,-577.1153177516318,100775.62958333333
101457.89572945204,2016-12-02,-428.9519642854543,101466.13666666666
101458.38636415523,2016-12-03,-325.25104309206205,101286.68666666666
101463.09936643836,2016-12-04,-296.5581981771612,100677.49541666667
101468.60014497713,2016-12-05,-344.7906390654992,101296.44041666666
101476.01540639267,2016-12-06,-616.2955326313142,101478.99874999998
101482.52433333333,2016-12-07,-642.3984997753572,100517.21416666667
101489.22261529679,2016-12-08,-350.13494595634666,100564.92333333334
101481.01166324198,2016-12-09,-156.6173785424955,102100.05708333333
101481.41723744292,2016-12-10,138.8115696310143,102324.21041666665
101488.36844748858,2016-12-11,181.2508644213792,102129.49583333333
101504.13199657532,2016-12-12,-222.24364589410249,101266.79541666666
101516.47223630133,2016-12-13,-493.3021109626075,100591.75
101530.88541438352,2016-12-14,-473.19442067618445,101685.50458333333
101530.99905136986,2016-12-15,-551.0692440884034,101509.31208333334
101534.16385045659,2016-12-16,-523.72764419218,100625.52750000001
101537.26403652964,2016-12-17,-471.43766218720253,101671.69333333334
101539.92425,2016-12-18,-512.8803061681175,101905.31166666666
101545.01614840182,2016-12-19,-299.23237293856215,100697.07250000001
101551.28953652967,2016-12-20,-166.7836847277035,101142.35083333333
101559.51863356165,2016-12-21,-97.52603356539089,101913.6725
101564.29962557078,2016-12-22,-244.3597610871995,101645.16333333333
101568.58173173518,2016-12-23,-380.2115627061266,101037.145
101569.3795091324,2016-12-24,-324.50435166421227,101123.39333333333
101568.34019292235,2016-12-25,-27.71605448696351,100800.01458333334
101570.51851369861,2016-12-26,-62.117861398536185,101097.82458333333
101571.53792579906,2016-12-27,-366.3208691195952,100654.64083333332
101570.79741438355,2016-12-28,-390.9098404147538,100107.96833333334
101572.46025228308,2016-12-29,-442.0491844786918,100096.41833333333
101577.90728652968,2016-12-30,-470.29364724680767,100299.47833333333
101579.2986267123,2016-12-31,-342.69565732641917,100576.735
101577.72808105023,2017-01-01,-234.32550815945928,101143.20541666668
101574.35565182647,2017-01-02,-254.06558026342108,101957.50291666666
101572.88269178082,2017-01-03,-304.92396524791195,101914.92375
101573.32869748859,2017-01-04,-229.43504001549576,101523.55249999999
101571.07977397263,2017-01-05,-99.67373559740261,101452.52666666667
101568.30089840181,2017-01-06,-188.8330183178078,101306.82458333333
101566.23882191778,2017-01-07,-222.4545558897978,100611.06874999999
101565.6265022831,2017-01-08,-232.66171855693278,100983.49041666667
101570.3237465753,2017-01-09,-327.97618792116685,101168.09666666666
101564.934239726,2017-01-10,-275.68220646729617,100999.07333333335
101569.39015068492,2017-01-11,-268.2869959418908,101210.31624999999
101567.12909931505,2017-01-12,-453.09464757401184,100503.7275
101563.5001324201,2017-01-13,-309.0981515653488,100252.36916666666
101562.05278881277,2017-01-14,-237.02937996686774,101441.84083333334
101559.76687671231,2017-01-15,-343.4127073029584,101699.16666666667
101556.08075342464,2017-01-16,-422.08740992442847,100997.94291666667
101552.81513242004,2017-01-17,-300.56983952458796,100857.52791666666
101551.26122031959,2017-01-18,-360.3387128081584,101541.77333333333
101551.50904223743,2017-01-19,-476.1430048512364,100220.085
101555.6532351598,2017-01-20,-349.2651985305445,100759.84208333334
101560.61088470317,2017-01-21,-368.27856211091796,101574.94041666666
101561.90896004565,2017-01-22,-582.7340775177801,100968.21666666667
101565.12280136987,2017-01-23,-592.7113219961818,100487.28041666666
101566.70419634704,2017-01-24,-170.8575475438181,101884.35791666666
101570.26683904108,2017-01-25,-284.1045281333355,101866.60291666667
101569.18082077624,2017-01-26,-440.37862725404085,101821.3625
101567.85105936069,2017-01-27,-471.09242766850497,101355.72499999999
101563.86753881277,2017-01-28,-423.0917924855616,101583.72791666667
101563.78584817352,2017-01-29,-483.9017360697436,101046.25583333334
101566.21016894974,2017-01-30,-578.7335307764516,100911.7375
101569.63506278537,2017-01-31,-347.66226821526783,101555.24416666666
101569.19041780822,2017-02-01,-365.63183946307265,101439.24416666666
101564.03282191778,2017-02-02,-314.9008878798135,101551.55625000001
101557.08332990864,2017-02-03,11.223350328234325,101284.42833333333
101550.37971347032,2017-02-04,83.82697010022083,100734.15041666666
101543.53968264838,2017-02-05,-163.72031471303256,100877.64916666667
101540.40232534244,2017-02-06,-133.4717296632602,101933.4375
101541.0961027397,2017-02-07,-112.78340783648319,101875.8925
101543.20191210044,2017-02-08,-162.53514242143024,101178.09125
101542.06310045662,2017-02-09,-182.41300809463922,101015.59875
101540.32256506849,2017-02-10,-228.6970192206828,100880.01541666668
101540.47204109587,2017-02-11,-338.5518218231192,100739.37375000001
101538.67567579908,2017-02-12,-410.4141916820337,101035.63416666667
101533.9166004566,2017-02-13,-355.63391142679285,101585.94416666667
101525.69762899542,2017-02-14,-263.27819424232695,101651.31166666666
101520.06028310499,2017-02-15,-27.21626824888163,100941.72166666666
101515.26154680364,2017-02-16,-190.31047429500427,100913.16125
101517.21455821917,2017-02-17,-463.61593319501736,100951.06125000001
101522.19721232874,2017-02-18,-333.15865760111177,101089.62416666666
101523.98974086755,2017-02-19,-19.97790084282203,101008.41208333334
101524.64006849316,2017-02-20,129.8702693477328,101721.00875
101525.59195776255,2017-02-21,227.91922036020688,101777.06708333333
101526.21754452052,2017-02-22,48.82168916186968,101199.44124999999
101529.299619863,2017-02-23,-82.33018326554166,102096.46708333334
101531.33912214614,2017-02-24,-139.41448872186942,102462.765
101531.12878310501,2017-02-25,-76.31814929614737,102144.51041666667
101532.42848972601,2017-02-26,-6.1822323399902475,102040.44750000001
101533.06018036527,2017-02-27,-17.692876837417714,102068.76375
101533.4648881278,2017-02-28,94.80592995893181,102012.21416666667
101537.62426484017,2017-03-01,20.1880965345577,101899.89624999999
